Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-03-09,2025-03-09,1234,SPOTIFY USA,Entertainment,14.40,
2025-03-12,2025-03-12,1234,SPOTIFY USA,Entertainment,12.52,
2025-03-15,2025-03-15,1234,PAYMENT - THANK YOU,Payment,,853.78
2025-03-15,2025-03-15,1234,WHOLEFDS MKT 102,Grocery,63.19,
2025-03-16,2025-03-16,1234,WHOLEFDS MKT 102,Grocery,148.79,
2025-03-20,2025-03-20,1234,WHOLEFDS MKT 102,Grocery,138.58,
2025-03-24,2025-03-24,1234,STARBUCKS STORE 09,Dining,9.85,
2025-03-25,2025-03-25,1234,STARBUCKS STORE 09,Dining,10.98,
2025-03-25,2025-03-25,1234,UBER TRIP,Gas/Automotive,36.75,
2025-04-04,2025-04-04,1234,UBER TRIP,Gas/Automotive,9.15,
2025-04-07,2025-04-07,1234,CVS/PHARMACY #7742,Health Care,57.24,
2025-04-08,2025-04-08,1234,CVS/PHARMACY #7742,Health Care,17.78,
2025-04-09,2025-04-09,1234,WHOLEFDS MKT 102,Grocery,149.21,
2025-04-11,2025-04-11,1234,WHOLEFDS MKT 102,Grocery,51.80,
2025-04-12,2025-04-12,1234,SPOTIFY USA,Entertainment,11.24,
2025-04-15,2025-04-15,1234,PAYMENT - THANK YOU,Payment,,865.09
2025-04-21,2025-04-21,1234,STARBUCKS STORE 09,Dining,9.18,
2025-04-21,2025-04-21,1234,STARBUCKS STORE 09,Dining,12.28,
2025-04-27,2025-04-27,1234,CVS/PHARMACY #7742,Health Care,55.82,
2025-04-27,2025-04-27,1234,SPOTIFY USA,Entertainment,13.69,
2025-05-04,2025-05-04,1234,STARBUCKS STORE 09,Dining,10.74,
2025-05-07,2025-05-07,1234,UBER TRIP,Gas/Automotive,10.24,
2025-05-07,2025-05-07,1234,UBER TRIP,Gas/Automotive,42.00,
2025-05-11,2025-05-11,1234,CVS/PHARMACY #7742,Health Care,41.54,
2025-05-11,2025-05-11,1234,UBER TRIP,Gas/Automotive,13.67,
2025-05-15,2025-05-15,1234,PAYMENT - THANK YOU,Payment,,585.90
2025-05-15,2025-05-15,1234,WHOLEFDS MKT 102,Grocery,108.32,
2025-05-17,2025-05-17,1234,WHOLEFDS MKT 102,Grocery,135.94,
2025-05-20,2025-05-20,1234,SPOTIFY USA,Entertainment,15.39,
2025-05-25,2025-05-25,1234,WHOLEFDS MKT 102,Grocery,126.67,
2025-05-27,2025-05-27,1234,CVS/PHARMACY #7742,Health Care,8.93,
2025-06-02,2025-06-02,1234,SPOTIFY USA,Entertainment,12.87,
2025-06-03,2025-06-03,1234,WHOLEFDS MKT 102,Grocery,66.36,
2025-06-14,2025-06-14,1234,CVS/PHARMACY #7742,Health Care,42.15,
2025-06-14,2025-06-14,1234,SPOTIFY USA,Entertainment,16.93,
2025-06-15,2025-06-15,1234,PAYMENT - THANK YOU,Payment,,498.60
2025-06-16,2025-06-16,1234,WHOLEFDS MKT 102,Grocery,51.64,
2025-06-21,2025-06-21,1234,UBER TRIP,Gas/Automotive,14.40,
2025-06-21,2025-06-21,1234,UBER TRIP,Gas/Automotive,26.62,
2025-06-22,2025-06-22,1234,SPOTIFY USA,Entertainment,12.85,
2025-06-26,2025-06-26,1234,CVS/PHARMACY #7742,Health Care,37.83,
2025-06-26,2025-06-26,1234,STARBUCKS STORE 09,Dining,8.56,
2025-06-26,2025-06-26,1234,WHOLEFDS MKT 102,Grocery,97.04,
2025-06-28,2025-06-28,1234,CVS/PHARMACY #7742,Health Care,70.87,
2025-07-02,2025-07-02,1234,CVS/PHARMACY #7742,Health Care,87.99,
2025-07-03,2025-07-03,1234,SPOTIFY USA,Entertainment,11.65,
2025-07-03,2025-07-03,1234,UBER TRIP,Gas/Automotive,27.90,
2025-07-03,2025-07-03,1234,WHOLEFDS MKT 102,Grocery,87.65,
2025-07-05,2025-07-05,1234,STARBUCKS STORE 09,Dining,5.13,
2025-07-06,2025-07-06,1234,UBER TRIP,Gas/Automotive,13.81,
2025-07-07,2025-07-07,1234,WHOLEFDS MKT 102,Grocery,143.91,
2025-07-10,2025-07-10,1234,CVS/PHARMACY #7742,Health Care,18.39,
2025-07-10,2025-07-10,1234,UBER TRIP,Gas/Automotive,14.34,
2025-07-12,2025-07-12,1234,UBER TRIP,Gas/Automotive,33.33,
2025-07-14,2025-07-14,1234,WHOLEFDS MKT 102,Grocery,56.92,
2025-07-14,2025-07-14,1234,WHOLEFDS MKT 102,Grocery,139.67,
2025-07-15,2025-07-15,1234,PAYMENT - THANK YOU,Payment,,641.37
2025-07-15,2025-07-15,1234,STARBUCKS STORE 09,Dining,11.96,
2025-07-16,2025-07-16,1234,SPOTIFY USA,Entertainment,15.52,
2025-07-18,2025-07-18,1234,STARBUCKS STORE 09,Dining,6.28,
2025-08-02,2025-08-02,1234,CVS/PHARMACY #7742,Health Care,80.48,
2025-08-03,2025-08-03,1234,STARBUCKS STORE 09,Dining,13.14,
2025-08-05,2025-08-05,1234,SPOTIFY USA,Entertainment,12.48,
2025-08-06,2025-08-06,1234,STARBUCKS STORE 09,Dining,10.76,
2025-08-13,2025-08-13,1234,SPOTIFY USA,Entertainment,13.16,
2025-08-13,2025-08-13,1234,UBER TRIP,Gas/Automotive,39.97,
2025-08-15,2025-08-15,1234,PAYMENT - THANK YOU,Payment,,419.06
2025-08-19,2025-08-19,1234,UBER TRIP,Gas/Automotive,16.20,
2025-08-20,2025-08-20,1234,STARBUCKS STORE 09,Dining,11.19,
2025-08-20,2025-08-20,1234,UBER TRIP,Gas/Automotive,36.93,
2025-08-20,2025-08-20,1234,WHOLEFDS MKT 102,Grocery,142.25,
2025-08-27,2025-08-27,1234,CVS/PHARMACY #7742,Health Care,70.11,
2025-08-27,2025-08-27,1234,UBER TRIP,Gas/Automotive,24.61,
2025-08-28,2025-08-28,1234,STARBUCKS STORE 09,Dining,7.00,
2025-09-03,2025-09-03,1234,CVS/PHARMACY #7742,Health Care,18.53,
2025-09-04,2025-09-04,1234,WHOLEFDS MKT 102,Grocery,85.93,
2025-09-08,2025-09-08,1234,SPOTIFY USA,Entertainment,13.68,
2025-09-10,2025-09-10,1234,STARBUCKS STORE 09,Dining,10.24,
2025-09-12,2025-09-12,1234,STARBUCKS STORE 09,Dining,9.02,
2025-09-14,2025-09-14,1234,STARBUCKS STORE 09,Dining,8.50,
2025-09-15,2025-09-15,1234,PAYMENT - THANK YOU,Payment,,615.30
2025-09-15,2025-09-15,1234,SPOTIFY USA,Entertainment,16.02,
2025-09-15,2025-09-15,1234,STARBUCKS STORE 09,Dining,6.61,
2025-09-15,2025-09-15,1234,WHOLEFDS MKT 102,Grocery,102.76,
2025-09-20,2025-09-20,1234,SPOTIFY USA,Entertainment,15.68,
2025-09-20,2025-09-20,1234,UBER TRIP,Gas/Automotive,41.54,
2025-09-21,2025-09-21,1234,WHOLEFDS MKT 102,Grocery,126.70,
2025-09-26,2025-09-26,1234,SPOTIFY USA,Entertainment,13.84,
2025-10-02,2025-10-02,1234,SPOTIFY USA,Entertainment,15.51,
2025-10-02,2025-10-02,1234,STARBUCKS STORE 09,Dining,10.73,
2025-10-03,2025-10-03,1234,CVS/PHARMACY #7742,Health Care,89.68,
2025-10-05,2025-10-05,1234,CVS/PHARMACY #7742,Health Care,10.12,
2025-10-15,2025-10-15,1234,PAYMENT - THANK YOU,Payment,,454.79
2025-10-21,2025-10-21,1234,CVS/PHARMACY #7742,Health Care,85.97,
2025-10-24,2025-10-24,1234,CVS/PHARMACY #7742,Health Care,64.79,
2025-10-24,2025-10-24,1234,UBER TRIP,Gas/Automotive,19.35,
2025-10-26,2025-10-26,1234,WHOLEFDS MKT 102,Grocery,91.41,
2025-11-05,2025-11-05,1234,SPOTIFY USA,Entertainment,12.52,
2025-11-06,2025-11-06,1234,UBER TRIP,Gas/Automotive,19.69,
2025-11-07,2025-11-07,1234,CVS/PHARMACY #7742,Health Care,22.93,
2025-11-08,2025-11-08,1234,SPOTIFY USA,Entertainment,12.91,
2025-11-08,2025-11-08,1234,STARBUCKS STORE 09,Dining,5.59,
2025-11-09,2025-11-09,1234,SPOTIFY USA,Entertainment,14.70,
2025-11-15,2025-11-15,1234,PAYMENT - THANK YOU,Payment,,480.61
2025-11-16,2025-11-16,1234,SPOTIFY USA,Entertainment,12.25,
2025-11-16,2025-11-16,1234,WHOLEFDS MKT 102,Grocery,75.23,
2025-11-20,2025-11-20,1234,UBER TRIP,Gas/Automotive,18.07,
2025-11-20,2025-11-20,1234,UBER TRIP,Gas/Automotive,33.95,
2025-11-22,2025-11-22,1234,STARBUCKS STORE 09,Dining,12.10,
2025-11-26,2025-11-26,1234,WHOLEFDS MKT 102,Grocery,141.18,
2025-12-04,2025-12-04,1234,UBER TRIP,Gas/Automotive,17.32,
2025-12-09,2025-12-09,1234,SPOTIFY USA,Entertainment,13.25,
2025-12-12,2025-12-12,1234,SPOTIFY USA,Entertainment,12.98,
2025-12-12,2025-12-12,1234,SPOTIFY USA,Entertainment,14.46,
2025-12-13,2025-12-13,1234,WHOLEFDS MKT 102,Grocery,62.72,
2025-12-15,2025-12-15,1234,CVS/PHARMACY #7742,Health Care,26.86,
2025-12-15,2025-12-15,1234,PAYMENT - THANK YOU,Payment,,707.69
2025-12-18,2025-12-18,1234,UBER TRIP,Gas/Automotive,26.21,
2025-12-18,2025-12-18,1234,UBER TRIP,Gas/Automotive,29.78,
2025-12-21,2025-12-21,1234,STARBUCKS STORE 09,Dining,12.72,
2025-12-22,2025-12-22,1234,WHOLEFDS MKT 102,Grocery,79.42,
2025-12-23,2025-12-23,1234,UBER TRIP,Gas/Automotive,38.12,
2025-12-24,2025-12-24,1234,SPOTIFY USA,Entertainment,15.79,
2025-12-26,2025-12-26,1234,WHOLEFDS MKT 102,Grocery,72.76,
2026-01-02,2026-01-02,1234,CVS/PHARMACY #7742,Health Care,9.83,
2026-01-02,2026-01-02,1234,CVS/PHARMACY #7742,Health Care,18.83,
2026-01-08,2026-01-08,1234,CVS/PHARMACY #7742,Health Care,58.23,
2026-01-10,2026-01-10,1234,SPOTIFY USA,Entertainment,14.70,
2026-01-10,2026-01-10,1234,STARBUCKS STORE 09,Dining,10.75,
2026-01-10,2026-01-10,1234,WHOLEFDS MKT 102,Grocery,131.08,
2026-01-14,2026-01-14,1234,SPOTIFY USA,Entertainment,13.51,
2026-01-15,2026-01-15,1234,PAYMENT - THANK YOU,Payment,,401.31
2026-01-22,2026-01-22,1234,STARBUCKS STORE 09,Dining,13.06,
2026-01-24,2026-01-24,1234,UBER TRIP,Gas/Automotive,10.12,
2026-01-28,2026-01-28,1234,STARBUCKS STORE 09,Dining,10.27,
2026-02-01,2026-02-01,1234,UBER TRIP,Gas/Automotive,39.91,
2026-02-02,2026-02-02,1234,CVS/PHARMACY #7742,Health Care,60.89,
2026-02-04,2026-02-04,1234,SPOTIFY USA,Entertainment,11.38,
2026-02-05,2026-02-05,1234,SPOTIFY USA,Entertainment,16.23,
2026-02-07,2026-02-07,1234,STARBUCKS STORE 09,Dining,8.30,
2026-02-08,2026-02-08,1234,UBER TRIP,Gas/Automotive,32.35,
2026-02-10,2026-02-10,1234,WHOLEFDS MKT 102,Grocery,56.17,
2026-02-12,2026-02-12,1234,WHOLEFDS MKT 102,Grocery,101.08,
2026-02-14,2026-02-14,1234,WHOLEFDS MKT 102,Grocery,106.28,
2026-02-15,2026-02-15,1234,PAYMENT - THANK YOU,Payment,,681.17
2026-02-26,2026-02-26,1234,SPOTIFY USA,Entertainment,12.59,
2026-02-26,2026-02-26,1234,SPOTIFY USA,Entertainment,12.62,
2026-02-27,2026-02-27,1234,STARBUCKS STORE 09,Dining,9.27,
2026-03-02,2026-03-02,1234,SPOTIFY USA,Entertainment,16.47,
2026-03-02,2026-03-02,1234,STARBUCKS STORE 09,Dining,5.55,
2026-03-04,2026-03-04,1234,SPOTIFY USA,Entertainment,11.07,
2026-03-05,2026-03-05,1234,CVS/PHARMACY #7742,Health Care,41.88,
2026-03-06,2026-03-06,1234,STARBUCKS STORE 09,Dining,13.13,
2026-03-13,2026-03-13,1234,UBER TRIP,Gas/Automotive,15.13,
2026-03-15,2026-03-15,1234,PAYMENT - THANK YOU,Payment,,653.47
2026-03-15,2026-03-15,1234,WHOLEFDS MKT 102,Grocery,108.20,
2026-03-17,2026-03-17,1234,CVS/PHARMACY #7742,Health Care,57.86,
2026-03-17,2026-03-17,1234,WHOLEFDS MKT 102,Grocery,122.02,
2026-03-20,2026-03-20,1234,WHOLEFDS MKT 102,Grocery,112.79,
2026-04-02,2026-04-02,1234,SPOTIFY USA,Entertainment,12.60,
2026-04-03,2026-04-03,1234,UBER TRIP,Gas/Automotive,33.48,
2026-04-04,2026-04-04,1234,UBER TRIP,Gas/Automotive,17.63,
2026-04-07,2026-04-07,1234,CVS/PHARMACY #7742,Health Care,15.00,
2026-04-10,2026-04-10,1234,CVS/PHARMACY #7742,Health Care,60.64,
2026-04-10,2026-04-10,1234,WHOLEFDS MKT 102,Grocery,110.73,
2026-04-13,2026-04-13,1234,STARBUCKS STORE 09,Dining,12.60,
2026-04-15,2026-04-15,1234,PAYMENT - THANK YOU,Payment,,653.71
2026-04-15,2026-04-15,1234,UBER TRIP,Gas/Automotive,14.79,
2026-04-17,2026-04-17,1234,CVS/PHARMACY #7742,Health Care,87.70,
2026-04-17,2026-04-17,1234,WHOLEFDS MKT 102,Grocery,77.49,
2026-04-21,2026-04-21,1234,UBER TRIP,Gas/Automotive,10.28,
2026-04-22,2026-04-22,1234,CVS/PHARMACY #7742,Health Care,72.65,
2026-04-24,2026-04-24,1234,SPOTIFY USA,Entertainment,16.55,
2026-04-24,2026-04-24,1234,WHOLEFDS MKT 102,Grocery,127.21,
2026-04-27,2026-04-27,1234,WHOLEFDS MKT 102,Grocery,109.38,
2026-04-28,2026-04-28,1234,SPOTIFY USA,Entertainment,12.58,
2026-05-01,2026-05-01,1234,SPOTIFY USA,Entertainment,13.62,
2026-05-07,2026-05-07,1234,STARBUCKS STORE 09,Dining,12.92,
2026-05-09,2026-05-09,1234,WHOLEFDS MKT 102,Grocery,139.99,
2026-05-15,2026-05-15,1234,PAYMENT - THANK YOU,Payment,,472.30
2026-05-16,2026-05-16,1234,SPOTIFY USA,Entertainment,16.04,
2026-05-19,2026-05-19,1234,CVS/PHARMACY #7742,Health Care,82.68,
2026-05-20,2026-05-20,1234,CVS/PHARMACY #7742,Health Care,56.00,
2026-05-20,2026-05-20,1234,UBER TRIP,Gas/Automotive,16.89,
2026-05-23,2026-05-23,1234,SPOTIFY USA,Entertainment,11.04,
2026-05-23,2026-05-23,1234,UBER TRIP,Gas/Automotive,41.39,
2026-05-24,2026-05-24,1234,SPOTIFY USA,Entertainment,12.40,
2026-05-24,2026-05-24,1234,STARBUCKS STORE 09,Dining,13.23,
2026-05-26,2026-05-26,1234,CVS/PHARMACY #7742,Health Care,25.38,
2026-05-27,2026-05-27,1234,WHOLEFDS MKT 102,Grocery,123.11,
2026-05-28,2026-05-28,1234,UBER TRIP,Gas/Automotive,29.81,
2026-06-03,2026-06-03,1234,CVS/PHARMACY #7742,Health Care,78.23,
2026-06-04,2026-06-04,1234,WHOLEFDS MKT 102,Grocery,56.20,
2026-06-05,2026-06-05,1234,UBER TRIP,Gas/Automotive,31.86,
2026-06-12,2026-06-12,1234,STARBUCKS STORE 09,Dining,13.80,
2026-06-15,2026-06-15,1234,PAYMENT - THANK YOU,Payment,,780.88
2026-06-23,2026-06-23,1234,SPOTIFY USA,Entertainment,11.41,
2026-06-23,2026-06-23,1234,STARBUCKS STORE 09,Dining,5.26,
2026-07-02,2026-07-02,1234,UBER TRIP,Gas/Automotive,40.33,
2026-07-04,2026-07-04,1234,CVS/PHARMACY #7742,Health Care,72.94,
2026-07-04,2026-07-04,1234,UBER TRIP,Gas/Automotive,17.14,
2026-07-07,2026-07-07,1234,UBER TRIP,Gas/Automotive,12.70,
2026-07-15,2026-07-15,1234,PAYMENT - THANK YOU,Payment,,559.57
2026-07-16,2026-07-16,1234,CVS/PHARMACY #7742,Health Care,16.19,
2026-07-18,2026-07-18,1234,WHOLEFDS MKT 102,Grocery,138.58,
2026-07-21,2026-07-21,1234,CVS/PHARMACY #7742,Health Care,24.81,
2026-07-26,2026-07-26,1234,UBER TRIP,Gas/Automotive,33.87,
2026-07-27,2026-07-27,1234,SPOTIFY USA,Entertainment,15.51,
2026-07-27,2026-07-27,1234,WHOLEFDS MKT 102,Grocery,145.23,
2026-07-28,2026-07-28,1234,STARBUCKS STORE 09,Dining,11.80,
2026-08-01,2026-08-01,1234,CVS/PHARMACY #7742,Health Care,36.52,
2026-08-01,2026-08-01,1234,STARBUCKS STORE 09,Dining,8.93,
2026-08-01,2026-08-01,1234,STARBUCKS STORE 09,Dining,12.10,
2026-08-01,2026-08-01,1234,WHOLEFDS MKT 102,Grocery,120.16,
2026-08-02,2026-08-02,1234,UBER TRIP,Gas/Automotive,27.96,
2026-08-05,2026-08-05,1234,STARBUCKS STORE 09,Dining,10.56,
2026-08-05,2026-08-05,1234,UBER TRIP,Gas/Automotive,14.62,
2026-08-05,2026-08-05,1234,WHOLEFDS MKT 102,Grocery,47.20,
2026-08-05,2026-08-05,1234,WHOLEFDS MKT 102,Grocery,142.66,
2026-08-06,2026-08-06,1234,WHOLEFDS MKT 102,Grocery,140.59,
2026-08-09,2026-08-09,1234,SPOTIFY USA,Entertainment,12.21,
2026-08-10,2026-08-10,1234,UBER TRIP,Gas/Automotive,16.15,
2026-08-12,2026-08-12,1234,UBER TRIP,Gas/Automotive,10.59,
2026-08-13,2026-08-13,1234,PAYMENT - THANK YOU,Payment,,447.84
2026-08-13,2026-08-13,1234,STARBUCKS STORE 09,Dining,5.88,
